City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Daru,PG,79.03,overcast clouds,-9.0763,143.2092,Daru Lodge
15,Sakakah,SA,83.77,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
16,Bubaque,GW,82.85,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
18,Hilo,US,76.62,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
19,Lompoc,US,80.69,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
24,Hamilton,US,82.96,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
25,Butaritari,KI,81.55,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
29,Columbus,US,81.97,scattered clouds,39.9612,-82.9988,DoubleTree Suites by Hilton Hotel Columbus Downtown
31,Fare,PF,77.77,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
34,Kununurra,AU,75.18,few clouds,-15.7667,128.7333,Hotel Kununurra
35,Vaini,TO,77.16,few clouds,-21.2,-175.2,Keleti Beach Resort
51,Kavaratti,IN,82.24,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
55,Surt,LY,76.53,overcast clouds,31.2089,16.5887,الهادي ابوشعاله سرت
58,Naze,JP,77.04,broken clouds,28.3667,129.4833,オーベルジュ・アガルイ
60,Celestun,MX,85.14,scattered clouds,20.8667,-90.4,Posada Lilia
61,Mogadishu,SO,78.4,broken clouds,2.0371,45.3438,Hotel Juba
62,Kapaa,US,82.38,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
64,Bengkulu,ID,76.78,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
70,Tautira,PF,82.42,few clouds,-17.7333,-149.15,Pension Oaoa
71,Yazoo City,US,88.54,overcast clouds,32.8551,-90.4056,Hampton Inn Yazoo City
73,Hithadhoo,MV,82.78,overcast clouds,-0.6,73.0833,Scoop Guest House
79,Anloga,GH,80.82,broken clouds,5.7947,0.8973,Pin Drop Hotel
87,Atuona,PF,77.79,few clouds,-9.8,-139.0333,Villa Enata
94,Bud,US,84.15,few clouds,39.447,-86.1758,Ted McQuinn Trust
99,Hun,LY,81.54,clear sky,29.1268,15.9477,Alrwasi Hotel
102,Road Town,VG,87.84,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
104,Sinnamary,GF,83.88,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
106,Waingapu,ID,76.3,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
108,Cockburn Town,TC,83.28,clear sky,21.4612,-71.1419,Osprey Beach Hotel
110,Saint Anthony,US,79.25,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
111,Avarua,CK,77.05,few clouds,-21.2078,-159.775,Paradise Inn
113,Georgetown,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
114,Guerrero Negro,MX,76.57,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
120,Ajdabiya,LY,78.89,clear sky,30.7554,20.2263,Almadina Hotel
121,Marsh Harbour,BS,82.53,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
124,Padang,ID,77.52,scattered clouds,-0.9492,100.3543,Mercure Padang
125,San Policarpo,PH,80.58,heavy intensity rain,12.1791,125.5072,Agapita M. Nicart
133,Axim,GH,78.48,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
137,Kushikino,JP,76.08,clear sky,31.7167,130.2667,Tajiri Inn
152,Isangel,VU,75.31,scattered clouds,-19.55,169.2667,Tanna Lodge
158,Bol,TD,85.53,clear sky,13.4586,14.7147,Hotel 3 Etoiles
159,Kavieng,PG,80.35,light rain,-2.5744,150.7967,Nusa Island Retreat
160,Isla Vista,US,81.07,clear sky,34.4133,-119.861,Best Western Plus South Coast Inn
166,Massaguet,TD,84.24,scattered clouds,12.4755,15.4365,Alwatane
169,Puerto Ayora,EC,78.76,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
171,Victoria,HK,80.26,moderate rain,22.2855,114.1577,Mini Hotel Central
176,San Cristobal,VE,80.78,broken clouds,7.7669,-72.225,Posada Villaven C.A.
179,Acapulco,MX,87.62,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
185,Kuala Terengganu,MY,78.75,scattered clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
187,Kahului,US,81.66,light rain,20.8947,-156.47,Maui Seaside Hotel
