City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Daru,PG,-9.0763,143.2092,79.03,87,100,16.91,overcast clouds
1,Ushuaia,AR,-54.8,-68.3,51.46,66,40,6.91,light rain
2,Ilulissat,GL,69.2167,-51.1,30.22,47,20,6.91,few clouds
3,Barrow,US,71.2906,-156.7887,30.22,74,90,5.75,overcast clouds
4,Cangucu,BR,-31.395,-52.6756,61.81,86,100,10.49,overcast clouds
5,Port Alfred,ZA,-33.5906,26.891,60.67,72,5,17.85,clear sky
6,Copiapo,CL,-27.3667,-70.3333,58.69,29,0,9.71,clear sky
7,Egvekinot,RU,66.3167,-179.1667,17.26,86,100,7.52,overcast clouds
8,Cape Town,ZA,-33.9258,18.4232,61.12,62,0,10.36,clear sky
9,Arraial Do Cabo,BR,-22.9661,-42.0278,69.76,68,90,16.11,overcast clouds
10,Busselton,AU,-33.65,115.3333,41.09,79,93,7.76,overcast clouds
11,Dikson,RU,73.5069,80.5464,30.18,60,100,24.34,overcast clouds
12,Qaanaaq,GL,77.484,-69.3632,28.38,82,100,14.92,overcast clouds
13,Kyren,RU,51.6828,102.1408,32.27,68,43,3.33,scattered clouds
14,Inverell,AU,-29.7833,151.1167,62.17,87,6,4.0,clear sky
15,Sakakah,SA,29.9697,40.2064,83.77,17,0,12.95,clear sky
16,Bubaque,GW,11.2833,-15.8333,82.85,75,63,11.41,broken clouds
17,Tvoroyri,FO,61.5556,-6.8111,51.19,86,44,23.26,scattered clouds
18,Hilo,US,19.7297,-155.09,76.62,80,75,8.05,moderate rain
19,Lompoc,US,34.6391,-120.4579,80.69,43,1,17.27,clear sky
20,Hasaki,JP,35.7333,140.8333,66.6,83,10,5.17,clear sky
21,Narsaq,GL,60.9167,-46.05,35.82,62,3,2.46,clear sky
22,Tuktoyaktuk,CA,69.4541,-133.0374,32.0,93,90,6.91,overcast clouds
23,Lozovo,MK,41.7839,21.9056,47.59,90,100,2.1,overcast clouds
24,Hamilton,US,39.1834,-84.5333,82.96,61,40,1.01,scattered clouds
25,Butaritari,KI,3.0707,172.7902,81.55,68,100,12.24,overcast clouds
26,Shitanjing,CN,39.2342,106.3439,37.13,32,2,4.18,clear sky
27,Saint-Pierre,RE,-21.3393,55.4781,71.28,74,90,12.66,overcast clouds
28,San Patricio,US,28.017,-97.5169,91.02,43,0,12.33,clear sky
29,Columbus,US,39.9612,-82.9988,81.97,59,40,1.01,scattered clouds
30,Bluff,NZ,-46.6,168.3333,50.81,84,71,9.57,broken clouds
31,Fare,PF,-16.7,-151.0167,77.77,69,0,3.04,clear sky
32,Albany,US,42.6001,-73.9662,65.62,70,100,4.0,overcast clouds
33,Chuy,UY,-33.6971,-53.4616,61.74,66,25,11.03,scattered clouds
34,Kununurra,AU,-15.7667,128.7333,75.18,69,23,3.44,few clouds
35,Vaini,TO,-21.2,-175.2,77.16,83,20,3.44,few clouds
36,Khatanga,RU,71.9667,102.5,16.14,97,100,1.52,light snow
37,Yerbogachen,RU,61.2767,108.0108,36.81,97,100,15.59,light rain
38,Socorro,US,31.6546,-106.3033,90.61,16,1,14.97,clear sky
39,Mataura,NZ,-46.1927,168.8643,50.49,69,2,2.93,clear sky
40,Lata,PT,40.1629,-8.3327,62.08,81,41,1.57,scattered clouds
41,Tornio,FI,65.8481,24.1466,37.42,92,100,7.83,overcast clouds
42,Christchurch,NZ,-43.5333,172.6333,56.03,85,29,1.01,scattered clouds
43,Punta Arenas,CL,-53.15,-70.9167,57.31,51,40,25.32,light rain
44,Hermanus,ZA,-34.4187,19.2345,60.91,78,0,7.38,clear sky
45,New Norfolk,AU,-42.7826,147.0587,45.9,62,66,1.99,broken clouds
46,Esperance,AU,-33.8667,121.9,53.24,57,100,6.04,overcast clouds
47,Port Shepstone,ZA,-30.7414,30.455,65.82,70,45,23.58,scattered clouds
48,Sorland,NO,67.667,12.6934,51.89,97,100,28.72,light rain
49,Bambous Virieux,MU,-20.3428,57.7575,72.21,88,75,13.8,light intensity shower rain
50,Yellowknife,CA,62.456,-114.3525,44.42,99,90,3.0,light rain
51,Kavaratti,IN,10.5669,72.642,82.24,80,98,10.51,overcast clouds
52,Grindavik,IS,63.8424,-22.4338,45.07,87,75,14.97,light intensity drizzle
53,Clyde River,CA,70.4692,-68.5914,34.59,76,100,12.48,overcast clouds
54,Kaitangata,NZ,-46.2817,169.8464,46.76,79,2,3.27,clear sky
55,Surt,LY,31.2089,16.5887,76.53,76,89,19.8,overcast clouds
56,Caravelas,BR,-17.7125,-39.2481,73.26,76,100,8.81,overcast clouds
57,Mar Del Plata,AR,-38.0023,-57.5575,55.42,64,0,18.01,clear sky
58,Naze,JP,28.3667,129.4833,77.04,74,51,20.27,broken clouds
59,Chengdu,CN,30.6667,104.0667,63.86,81,75,11.18,mist
60,Celestun,MX,20.8667,-90.4,85.14,68,47,10.25,scattered clouds
61,Mogadishu,SO,2.0371,45.3438,78.4,89,55,11.56,broken clouds
62,Kapaa,US,22.0752,-159.319,82.38,70,75,7.0,broken clouds
63,Mega,ET,4.05,38.3,65.62,64,69,9.84,light rain
64,Bengkulu,ID,-3.8004,102.2655,76.78,92,26,5.14,scattered clouds
65,Hisai,JP,34.6667,136.4667,73.8,91,21,7.43,few clouds
66,Ortona,IT,42.3496,14.4039,56.46,82,99,13.15,overcast clouds
67,Carnarvon,AU,-24.8667,113.6333,60.87,63,0,13.8,clear sky
68,Mae Sai,TH,20.4335,99.8762,74.52,99,100,1.99,overcast clouds
69,Norman Wells,CA,65.282,-126.8329,30.24,100,90,5.75,light snow
70,Tautira,PF,-17.7333,-149.15,82.42,70,22,4.16,few clouds
71,Yazoo City,US,32.8551,-90.4056,88.54,43,96,6.24,overcast clouds
72,Kruisfontein,ZA,-34.0033,24.7314,55.89,79,1,11.52,clear sky
73,Hithadhoo,MV,-0.6,73.0833,82.78,69,100,9.01,overcast clouds
74,Vrangel,RU,42.7297,133.0839,62.91,90,100,12.8,overcast clouds
75,Cidreira,BR,-30.1811,-50.2056,63.55,86,100,19.19,overcast clouds
76,Saint George,US,37.1041,-113.5841,73.87,40,1,3.0,clear sky
77,Quatre Cocos,MU,-20.2078,57.7625,72.09,78,18,17.92,few clouds
78,Kodiak,US,57.79,-152.4072,49.51,46,90,16.11,overcast clouds
79,Anloga,GH,5.7947,0.8973,80.82,83,81,12.86,broken clouds
80,Illapel,CL,-31.6308,-71.1653,61.07,54,3,8.01,clear sky
81,Castro,BR,-24.7911,-50.0119,56.5,99,100,6.22,light rain
82,Saldanha,ZA,-33.0117,17.9442,57.25,79,0,15.99,clear sky
83,Chapais,CA,49.7834,-74.8492,65.98,57,56,10.51,broken clouds
84,San Vicente,AR,-26.6167,-54.1333,65.23,100,100,2.75,light rain
85,Rikitea,PF,-23.1203,-134.9692,74.05,82,100,18.12,overcast clouds
86,Bor,RU,56.3567,44.0669,44.53,66,94,5.28,overcast clouds
87,Atuona,PF,-9.8,-139.0333,77.79,71,13,18.05,few clouds
88,Nikolskoye,RU,59.7035,30.7861,53.87,84,100,5.7,overcast clouds
89,Pisco,PE,-13.7,-76.2167,67.01,72,0,9.22,clear sky
90,Port Elizabeth,ZA,-33.918,25.5701,58.1,72,0,14.61,clear sky
91,Ilmajoki,FI,62.7333,22.5667,53.53,74,75,8.05,broken clouds
92,Leua,SK,48.2156,18.6071,47.1,53,0,5.08,clear sky
93,Laguna,US,38.421,-121.4238,74.43,44,1,4.0,clear sky
94,Bud,US,39.447,-86.1758,84.15,61,21,10.11,few clouds
95,Ribeira Grande,PT,38.5167,-28.7,72.0,78,20,18.41,few clouds
96,Iqaluit,CA,63.7506,-68.5145,35.33,93,90,4.0,overcast clouds
97,Hobart,AU,-42.8794,147.3294,46.26,73,20,3.0,few clouds
98,Jamestown,US,42.097,-79.2353,67.71,87,90,7.0,overcast clouds
99,Hun,LY,29.1268,15.9477,81.54,17,3,10.87,clear sky
100,Airai,TL,-8.9266,125.4092,58.57,58,94,1.63,overcast clouds
101,Saint-Philippe,RE,-21.3585,55.7679,71.19,85,43,15.05,light rain
102,Road Town,VG,18.4167,-64.6167,87.84,58,20,9.22,few clouds
103,Sergeyevka,KZ,53.88,67.4158,40.62,77,94,6.62,overcast clouds
104,Sinnamary,GF,5.3833,-52.95,83.88,71,100,10.96,overcast clouds
105,Alyangula,AU,-13.8483,136.4192,71.47,88,50,0.0,scattered clouds
106,Waingapu,ID,-9.6567,120.2641,76.3,78,68,2.42,broken clouds
107,Hami,CN,42.8,93.45,43.21,36,0,4.88,clear sky
108,Cockburn Town,TC,21.4612,-71.1419,83.28,73,10,13.31,clear sky
109,Kaeo,NZ,-35.1,173.7833,57.33,78,50,6.98,scattered clouds
110,Saint Anthony,US,45.0205,-93.218,79.25,65,1,3.0,clear sky
111,Avarua,CK,-21.2078,-159.775,77.05,65,20,8.05,few clouds
112,Tessalit,ML,20.1986,1.0114,87.03,10,100,8.95,overcast clouds
113,Georgetown,MY,5.4112,100.3354,80.89,91,20,2.3,few clouds
114,Guerrero Negro,MX,27.9769,-114.0611,76.57,52,5,22.7,clear sky
115,Mayo,US,38.8876,-76.5119,73.56,75,90,15.01,overcast clouds
116,Erenhot,CN,43.6475,111.9767,38.35,48,0,17.69,clear sky
117,Winston-Salem,US,36.0999,-80.2442,71.74,81,75,10.36,broken clouds
118,Katsuura,JP,35.1333,140.3,70.11,85,26,3.56,scattered clouds
119,Mount Gambier,AU,-37.8333,140.7667,39.11,93,88,5.75,overcast clouds
120,Ajdabiya,LY,30.7554,20.2263,78.89,28,0,10.47,clear sky
121,Marsh Harbour,BS,26.5412,-77.0636,82.53,65,99,6.6,overcast clouds
122,Bambanglipuro,ID,-7.95,110.2833,57.6,90,45,3.96,scattered clouds
