City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Provideniya,RU,2021-10-08 01:29:39,64.3833,-173.3,37.51,81,75,15.66
1,Tres Arroyos,AR,2021-10-08 01:29:39,-38.3739,-60.2798,44.62,71,0,6.85
2,Tasiilaq,GL,2021-10-08 01:29:39,65.6145,-37.6368,35.76,54,23,8.61
3,Mahebourg,MU,2021-10-08 01:29:40,-20.4081,57.7,68.29,88,75,3.44
4,Quebrangulo,BR,2021-10-08 01:29:40,-9.3189,-36.4711,66.74,95,36,3.71
5,Punta Arenas,CL,2021-10-08 01:29:41,-53.15,-70.9167,46.51,53,0,18.41
6,Mtimbira,TZ,2021-10-08 01:27:13,-8.7833,36.35,75.63,61,86,2.75
7,Mataura,NZ,2021-10-08 01:29:41,-46.1927,168.8643,57.47,54,100,5.3
8,Nizwa,OM,2021-10-08 01:29:42,22.9333,57.5333,79.21,57,0,0.67
9,College,US,2021-10-08 01:29:42,64.8569,-147.8028,39.15,94,90,4.61
10,New Norfolk,AU,2021-10-08 01:29:43,-42.7826,147.0587,66.65,57,80,5.01
11,Evensk,RU,2021-10-08 01:29:43,61.95,159.2333,28.38,45,63,1.36
12,Griffith,US,2021-10-08 01:29:44,41.5284,-87.4237,68.63,95,75,0.0
13,Rikitea,PF,2021-10-08 01:29:44,-23.1203,-134.9692,73.83,74,15,8.63
14,Kapaa,US,2021-10-08 01:29:44,22.0752,-159.319,82.72,71,75,4.0
15,Damietta,EG,2021-10-08 01:29:45,31.4165,31.8133,75.09,60,0,11.5
16,Grindavik,IS,2021-10-08 01:29:45,63.8424,-22.4338,49.89,93,90,21.85
17,Caibarien,CU,2021-10-08 01:29:46,22.5206,-79.4669,79.92,75,30,16.37
18,Cape Town,ZA,2021-10-08 01:26:54,-33.9258,18.4232,59.09,63,75,16.11
19,Plettenberg Bay,ZA,2021-10-08 01:29:46,-34.0527,23.3716,61.48,67,37,4.76
20,Gasa,PS,2021-10-08 01:29:47,31.5,34.4667,68.92,64,0,10.74
21,Chokwe,MZ,2021-10-08 01:29:47,-24.5333,32.9833,68.43,68,100,6.24
22,Kaitangata,NZ,2021-10-08 01:29:48,-46.2817,169.8464,58.57,63,77,8.9
23,Ushuaia,AR,2021-10-08 01:26:30,-54.8,-68.3,47.86,37,40,8.05
24,Bluff,NZ,2021-10-08 01:29:48,-46.6,168.3333,57.79,73,100,14.05
25,Ilulissat,GL,2021-10-08 01:29:49,69.2167,-51.1,23.02,58,4,1.14
26,Cabo San Lucas,MX,2021-10-08 01:25:30,22.8909,-109.9124,88.11,51,1,4.61
27,Hithadhoo,MV,2021-10-08 01:29:49,-0.6,73.0833,82.83,68,99,10.13
28,Kirensk,RU,2021-10-08 01:29:50,57.7853,108.1119,33.87,96,100,9.71
29,Narsaq,GL,2021-10-08 01:29:50,60.9167,-46.05,44.82,52,95,6.85
30,Awbari,LY,2021-10-08 01:29:51,26.5921,12.7805,76.03,19,0,8.84
31,Constitucion,CL,2021-10-08 01:29:51,-35.3333,-72.4167,49.48,89,0,6.13
32,Puerto Ayora,EC,2021-10-08 01:29:51,-0.7393,-90.3518,69.55,93,98,8.99
33,Santa Ana Arriba,DO,2021-10-08 01:29:52,19.3,-70.35,79.29,89,9,0.63
34,Ola,RU,2021-10-08 01:29:52,59.5833,151.2833,32.2,48,11,2.64
35,Dikson,RU,2021-10-08 01:29:53,73.5069,80.5464,33.66,97,100,17.43
36,Bredasdorp,ZA,2021-10-08 01:29:53,-34.5322,20.0403,56.52,94,0,1.14
37,Mankera,PK,2021-10-08 01:29:54,31.3866,71.4407,81.09,29,0,4.45
38,Port Alfred,ZA,2021-10-08 01:29:54,-33.5906,26.891,66.45,76,100,16.93
39,Belmonte,BR,2021-10-08 01:29:55,-15.8631,-38.8828,75.7,89,0,7.7
40,Qaanaaq,GL,2021-10-08 01:29:55,77.484,-69.3632,22.84,65,100,7.56
41,Saldanha,ZA,2021-10-08 01:29:56,-33.0117,17.9442,57.25,88,63,13.96
42,Atuona,PF,2021-10-08 01:29:56,-9.8,-139.0333,78.12,76,24,14.34
43,Alyangula,AU,2021-10-08 01:29:57,-13.8483,136.4192,89.47,58,80,11.5
44,Viedma,AR,2021-10-08 01:29:57,-40.8135,-62.9967,46.78,53,98,5.1
45,Kahului,US,2021-10-08 01:25:42,20.8947,-156.47,84.22,69,40,21.85
46,Fortuna,US,2021-10-08 01:29:58,40.5982,-124.1573,62.19,56,22,4.0
47,Flinders,AU,2021-10-08 01:29:58,-34.5833,150.8552,70.21,62,52,10.22
48,Gela,IT,2021-10-08 01:29:59,37.0803,14.2307,61.57,70,8,11.74
49,Albany,US,2021-10-08 01:29:59,42.6001,-73.9662,61.41,91,68,1.45
50,Vikulovo,RU,2021-10-08 01:30:00,56.8167,70.6107,35.55,88,4,7.54
51,Derzhavinsk,KZ,2021-10-08 01:30:00,51.1,66.3167,36.68,65,6,5.64
52,Kamenka,RU,2021-10-08 01:30:01,51.3223,42.7678,35.8,61,10,6.31
53,Saint-Philippe,RE,2021-10-08 01:30:01,-21.3585,55.7679,67.59,79,21,8.63
54,Hermanus,ZA,2021-10-08 01:30:02,-34.4187,19.2345,56.89,75,0,7.56
55,Hilo,US,2021-10-08 01:25:58,19.7297,-155.09,80.33,73,75,8.05
56,Ust-Maya,RU,2021-10-08 01:30:03,60.4167,134.5333,32.77,86,100,7.56
57,Victoria,HK,2021-10-08 01:28:11,22.2855,114.1577,78.78,95,100,5.01
58,Airai,TL,2021-10-08 01:30:04,-8.9266,125.4092,81.61,26,31,5.28
59,Tambun,ID,2021-10-08 01:30:05,-6.2641,107.0712,89.47,79,14,3.44
60,Luena,AO,2021-10-08 01:30:06,-11.7833,19.9167,65.5,61,4,3.44
61,Kavieng,PG,2021-10-08 01:30:07,-2.5744,150.7967,84.02,68,83,3.38
62,Barrow,US,2021-10-08 01:30:08,71.2906,-156.7887,33.82,75,90,9.22
63,Tuktoyaktuk,CA,2021-10-08 01:30:09,69.4541,-133.0374,32.0,80,20,5.75
64,Yellowknife,CA,2021-10-08 01:30:10,62.456,-114.3525,38.41,99,75,3.44
65,Hambantota,LK,2021-10-08 01:30:10,6.1241,81.1185,77.34,100,20,4.61
66,Redlands,US,2021-10-08 01:29:37,34.0556,-117.1825,72.64,70,100,3.0
67,Chapais,CA,2021-10-08 01:30:11,49.7834,-74.8492,56.98,94,24,4.23
68,Fulton,US,2021-10-08 01:30:12,33.7668,-84.4499,72.39,91,75,4.61
69,Asau,RO,2021-10-08 01:30:13,46.4333,26.4,40.75,70,100,3.94
70,Hobart,AU,2021-10-08 01:26:28,-42.8794,147.3294,67.01,51,40,4.0
71,Chenzhou,CN,2021-10-08 01:30:13,25.8,113.0333,64.76,83,100,6.15
72,Mount Gambier,AU,2021-10-08 01:30:14,-37.8333,140.7667,58.91,58,40,17.27
73,Paamiut,GL,2021-10-08 01:30:14,61.994,-49.6678,35.62,64,0,8.1
74,Vaini,TO,2021-10-08 01:30:15,-21.2,-175.2,82.56,78,20,4.61
75,Makushino,RU,2021-10-08 01:30:15,55.2103,67.2442,35.92,78,9,8.21
76,Isiro,CD,2021-10-08 01:30:16,2.7739,27.616,65.89,98,98,1.43
77,Providencia,MX,2021-10-08 01:30:16,28.7167,-111.5833,93.25,29,12,7.31
78,Mocuba,MZ,2021-10-08 01:30:17,-16.8392,36.9856,67.95,73,60,3.15
79,Yulara,AU,2021-10-08 01:30:17,-25.2406,130.9889,80.44,34,0,12.66
80,Busselton,AU,2021-10-08 01:30:18,-33.65,115.3333,58.08,66,100,9.28
81,Chuy,UY,2021-10-08 01:30:18,-33.6971,-53.4616,47.3,79,6,6.11
82,Saint-Louis,SN,2021-10-08 01:30:19,16.3333,-15.0,87.21,47,15,6.31
83,Santa Cruz Naranjo,GT,2021-10-08 01:30:19,14.3881,-90.3697,71.65,97,100,3.83
84,Nikolskoye,RU,2021-10-08 01:30:20,59.7035,30.7861,51.4,67,100,7.05
